Dia da Semana;Soja Monitorada;Umidade do Solo;Tamanho da Planta;Temperatura;Umidade do Ar;Vento;Temp.Max;Temp.Min;Precipitacao;Precisa Irrigar?;
seg ;1 ;12 ;32 ;12 ;62 ;15 ;19 ;10 ;3 ;sim
ter ;1 ;12 ;32 ;12 ;62 ;15 ;16 ;10 ;0 ;sim
qua ;1 ;12 ;32 ;12 ;62 ;15 ;15 ;12 ;7 ;não
qui ;1 ;12 ;32 ;12 ;62 ;15 ;17 ;10 ;0 ;sim
sex ;1 ;12 ;32 ;12 ;62 ;15 ;19 ;10 ;1 ;sim
sab ;1 ;12 ;32 ;12 ;62 ;15 ;18 ;14 ;2 ;sim
dom ;1 ;12 ;32 ;12 ;62 ;15 ;20 ;14 ;1 ;sim
seg ;2 ;19 ;48 ;12 ;62 ;15 ;19 ;10 ;3 ;sim
ter ;2 ;19 ;48 ;12 ;62 ;15 ;16 ;10 ;0 ;sim
qua ;2 ;19 ;48 ;12 ;62 ;15 ;15 ;12 ;7 ;não
qui ;2 ;19 ;48 ;12 ;62 ;15 ;17 ;10 ;0 ;sim
sex ;2 ;19 ;48 ;12 ;62 ;15 ;19 ;10 ;1 ;sim
sab ;2 ;19 ;48 ;12 ;62 ;15 ;18 ;14 ;2 ;sim
dom ;2 ;19 ;48 ;12 ;62 ;15 ;20 ;14 ;1 ;sim
seg ;3 ;99 ;46 ;12 ;62 ;15 ;19 ;10 ;3 ;sim
ter ;3 ;99 ;46 ;12 ;62 ;15 ;16 ;10 ;0 ;sim
qua ;3 ;99 ;46 ;12 ;62 ;15 ;15 ;12 ;7 ;não
qui ;3 ;99 ;46 ;12 ;62 ;15 ;17 ;10 ;0 ;sim
sex ;3 ;99 ;46 ;12 ;62 ;15 ;19 ;10 ;1 ;sim
sab ;2 ;19 ;48 ;12 ;62 ;15 ;18 ;14 ;2 ;sim
dom ;3 ;99 ;46 ;12 ;62 ;15 ;20 ;14 ;1 ;sim
